seed,strategy,model,threshold_mode,features,train_sources,test_source,accuracy,precision_weighted,recall_weighted,f1_weighted,recall_very_high,precision_very_high,f1_very_high
46,std,decision_tree,default,ctx,kaggle+mother_jones,stanford_msa,0.09281437125748503,0.9114801293540418,0.09281437125748503,0.12436679061232374,1.0,0.028938906752411574,0.05625
46,std,decision_tree,youden,ctx,mother_jones+stanford_msa,kaggle,0.4222222222222222,0.9098597463676829,0.4222222222222222,0.5495995757093609,0.0,0.0,0.0
46,std,decision_tree,youden,ctx,kaggle+stanford_msa,mother_jones,0.1592356687898089,0.036575036316906916,0.1592356687898089,0.05948645109745001,0.9130434782608695,0.21,0.34146341463414637
46,std,decision_tree,youden,ctx,kaggle+mother_jones,stanford_msa,0.09281437125748503,0.9124442675694656,0.09281437125748503,0.12598204414780598,0.7777777777777778,0.025830258302583026,0.05
46,std,decision_tree,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.4222222222222222,0.9098695743072642,0.4222222222222222,0.5496171237671099,0.0,0.0,0.0
46,std,decision_tree,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.11464968152866242,0.05315190117737889,0.11464968152866242,0.06025331283402885,0.34782608695652173,0.32,0.3333333333333333
46,std,decision_tree,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.3502994011976048,0.952750748502994,0.3502994011976048,0.4906652285912457,0.0,0.0,0.0
46,std,multinomial_lr,default,ctx,mother_jones+stanford_msa,kaggle,0.45714285714285713,0.913762706724903,0.45714285714285713,0.5867432566021967,0.36363636363636365,0.05970149253731343,0.10256410256410256
46,std,multinomial_lr,default,ctx,kaggle+stanford_msa,mother_jones,0.1592356687898089,0.8195455048026121,0.1592356687898089,0.12678722266250517,0.5217391304347826,0.2926829268292683,0.375
46,std,multinomial_lr,default,ctx,kaggle+mother_jones,stanford_msa,0.5,0.9546130612674942,0.5,0.6337883243737835,1.0,0.05806451612903226,0.10975609756097561
46,std,multinomial_lr,youden,ctx,mother_jones+stanford_msa,kaggle,0.4603174603174603,0.9209352209352208,0.4603174603174603,0.5889333311620093,0.45454545454545453,0.07352941176470588,0.12658227848101267
46,std,multinomial_lr,youden,ctx,kaggle+stanford_msa,mother_jones,0.1592356687898089,0.8195455048026121,0.1592356687898089,0.12678722266250517,0.5217391304347826,0.2926829268292683,0.375
46,std,multinomial_lr,youden,ctx,kaggle+mother_jones,stanford_msa,0.5059880239520959,0.9553145585393017,0.5059880239520959,0.6404873012595499,0.6666666666666666,0.09090909090909091,0.16
46,std,multinomial_lr,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.473015873015873,0.9146480354567588,0.473015873015873,0.6017080043740103,0.36363636363636365,0.06451612903225806,0.1095890410958904
46,std,multinomial_lr,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.21656050955414013,0.6831385175334219,0.21656050955414013,0.17584392772789675,0.9565217391304348,0.15384615384615385,0.26506024096385544
46,std,multinomial_lr,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.4161676646706587,0.9543736669730584,0.4161676646706587,0.5535033915621661,1.0,0.04918032786885246,0.09375
